,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
367,Longview,TX,Longview,Gregg County,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1197.5,1185,1100,1185,1090,1097.5,1095,1095,1150,1195,1150,1195,1162.5,1162.5,1125,1195,1195,1195,1192.5,1250,1200,1200,1200,1197.5,1185,1100,1172.5,1150,1125,1112.5,1050,1200,1195,1197.5,1300,1300,1295,1195,1195,1245,1197.5
389,League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862.5,1737.5,1675,1650,1675,1700,1825,1850,1795,1885,1750,1750,1762.5,1750,1700,1699,1767.5,1850,1800,1850,1975,1900,1945,1900,1800,1879,1912.5,1900,1935,1999,1900,1895,1835,1750,1900,1800,1845,1800,1895,1875,1850,1875,1850,1895,1895,1900,1950,1950,1850,1895,1850,1850,1900,1895,1900,1945,1900,1875,1850,1850,1825,1825,1800,1797.5,1852.5,1895,1850,1895,1850,1900,1850,1825,1865,1800
399,Bryan,TX,College Station-Bryan,Brazos County,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,1300,1250,1297.5,1300,1297.5,1275,1200,1195,1195,1200,1262.5,1350,1275,1200,1250,1200,1200,1250,1100,1150,1185,1295,1300,1250,1200,1300,1299.5,1295,1275,1400,1295,1295,1375,1425,1350
411,New Braunfels,TX,San Antonio-New Braunfels,Comal County,412,,,,,,,,,,,,,,1250,1250,1250,1295,1200,1225,1200,1097.5,1195,1200,1285,1250,1275,1295,1275,1275,1347.5,1350,1350,1312.5,1295,1300,1295,1300,1300,1297.5,1295,1295,1350,1345,1295,1300,1395,1395,1350,1350,1350,1350,1350,1395,1400,1400,1475,1400,1400,1425,1400,1395,1400,1395,1395,1425,1400,1472.5,1525,1495,1495,1495,1495,1525,1495,1500,1525,1495,1495,1450,1495,1500,1450,1495,1495,1500,1525,1525,1575,1550,1550,1575,1550,1500,1500,1550,1545,1550,1550,1650,1600,1600,1650,1625,1595,1595,1550,1557.5,1550,1550,1535,1600,1575,1575,1599.5,1650,1650,1635,1600,1599,1600
422,Allen,TX,Dallas-Fort Worth-Arlington,Collin County,423,,,,,,,,,,,,,1512.5,1500,1500,1550,1500,1697.5,1650,1650,1650,1650,1600,1500,1550,1600,1600,1597.5,1600,1662.5,1600,1600,1595,1600,1662.5,1697,1600,1695,1695,1597,1650,1675,1700,1692.5,1692.5,1650,1600,1695,1695,1685,1695,1695,1795,1795,1800,1795,1750,1750,1750,1750,1775,1762.5,1750,1750,1812.5,1800,1800,1795,1800,1800,1795,1750,1750,1795,1799,1800,1850,1900,1900,1885,1800,1870,1847.5,1880,1880,1895,1900,1950,1900,1895,1895,1899,1895,1850,1850,1850,1850,1850,1890,1950,1995,1897.5,1912.5,1900,1925,1880,1885,1865,1875,1895,1895,2000,1999,1995,1950,1950,1900,1897.5,1900,1895
454,San Angelo,TX,San Angelo,Tom Green County,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1275,1300,1325,1200,1200,1200,1200,1200,1200,1250,1200,1100,1200,1250,1200,1100,1100,1200,1100,1095,1197.5,1200,1250,1190,1200,1200,1200,1200,1200,1200,1100,1150,1150,1200,1250,1250,1295,1172.5,1175,1200,1200,1275,1250,1250,1200,1200,1250,1337.5,1300,1275,1262.5,1272.5,1250,1200
466,Georgetown,TX,Austin-Round Rock,Williamson County,467,,,,,,,,,,,,,,,,,1250,1275,1295,1475,1400,1400,1450,1497.5,1400,1400,1437.5,1500,1325,1350,1395,1475,1475,1500,1500,1550,1395,1395,1400,1400,1425,1450,1375,1397.5,1395,1450,1485,1500,1550,1562.5,1500,1500,1550,1575,1585,1575,1550,1550,1525,1550,1595,1550,1550,1550,1550,1550,1575,1600,1600,1600,1595,1600,1650,1600,1600,1600,1600,1600,1612.5,1600,1650,1595,1650,1695,1600,1600,1650,1650,1675,1695,1700,1700,1650,1700,1695,1695,1685,1650,1762.5,1700,1700,1725,1680,1677,1650,1650,1665,1650,1650,1695,1700,1695,1700,1725,1750,1750,1750,1750,1750,1750
480,Pflugerville,TX,Austin-Round Rock,Travis County,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.5,1020,1197.5,1260,1295,1225,1250,1275,1300,1297.5,1285,1270,1295,1325,1350,1295,1295,1359,1375,1350,1359,1375,1350,1359,1350,1354.5,1375,1375,1400,1450,1450,1450,1450,1495,1495,1475,1450,1460,1395,1400,1450,1495,1490,1437,1450,1450,1395,1525,1550,1550,1595,1575,1595,1595,1595,1595,1550,1550,1600,1599,1600,1600,1650,1695,1650,1675,1650,1625,1612.5,1600,1625,1650,1650,1675,1698,1700,1698,1700,1695,1650,1650,1677,1695
560,Missouri City,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1412.5,1425,1400,1400,1450,1500,1500,1550,1650,1650,1500,1650,1600,1650,1700,1685,1725,1700,1700,1625,1695,1612.5,1677.5,1650,1600,1650,1590,1680,1697.5,1687.5,1650,1675,1650,1629,1600,1650,1595,1695,1632,1600,1695,1700,1650,1650,1650,1749.5,1700,1700,1680,1680,1650,1625,1675,1700,1700,1697.5,1650,1650,1700,1695,1650,1650,1650,1690,1700,1690,1750,1750,1700,1750,1700,1700,1695
561,Mission,TX,McAllen-Edinburg-Mission,Hidalgo County,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1650,1650,1500,1525,1300,1412.5,1500,1439,1339,1250,1275,1300,1350,1350,1350,1400,1475,1600,1562.5,1500,1500,1500,1450,1450,1450,1500,1400,1500,1550,1550,1500,1425,1400,1450,1497.5,1497.5
564,Richmond,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,565,,,,,,,,,,,,,,,1650,1600,1725,1695,1625,1625,1550,1500,1490,1550,1600,1600,1600,1600,1600,1700,1600,1600,1600,1450,1450,1450,1500,1375,1550,1597.5,1587.5,1600,1695,1650,1600,1675,1650,1700,1600,1525,1550,1685,1795,1795,1737.5,1795,1800,1795,1800,1825,1850,1800,1800,1850,1885,1800,1800,1800,1795,1750,1797.5,1800,1800,1800,1800,1849.5,1800,1800,1795,1800,1749,1799,1675,1712.5,1795,1800,1795,1750,1795,1800,1800,1800,1825,1800,1872.5,1800,1795,1750,1795,1795,1795,1800,1835,1800,1800,1800,1800,1800,1800,1825,1800,1800,1800,1800,1800,1800,1850,1800,1850,1800
570,Tomball,TX,Houston-The Woodlands-Sugar Land,Harris County,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1575,1534.5,1500,1550,1625,1575,1600,1599,1550,1599,1567,1600,1600,1600,1650,1600,1600,1600,1595,1600,1592.5,1595,1650,1562.5,1687.5,1595,1600,1600,1550,1600,1597,1500,1550,1500,1550,1595,1595,1595,1600,1599.5,1600,1595,1595,1650,1650,1625,1625,1650,1650,1677.5,1695,1650,1627.5,1650,1650,1650,1650,1650,1650,1650,1675,1650,1650,1650,1650,1627.5,1650,1650
588,Temple,TX,Killeen-Temple,Bell County,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,950,895,895,895,897.5,950,990,992.5,960,950,937.5,900,950,995,997.5,1000,995,995,997.5,1000,997.5,997.5,1050,1100,1062.5,1095,1195,1195,1150,1000,1100,1095,1100,1050,1095,1100,1100,1100,1125,1100,1150,1050,1050,995,1095,1150,1095,1100,1150,1150,1175,1195,1200,1150,1125,1100,1100,1095,1050,1072.5,1177.5,1195,1250,1200,1250,1222.5,1200,1225,1250,1195,1175,1125,1195,1250,1350,1295,1300,1300,1245,1250,1250,1200,1200
599,Atascocita,TX,Houston-The Woodlands-Sugar Land,Harris County,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,1385,1350,1400,1437.5,1450,1450,1450,1419,1450,1500,1500,1500,1600,1550,1500,1563,1550,1550,1522.5,1550,1595,1609.5,1600,1597.5,1625,1650,1600,1625,1600,1600,1650,1658.5,1650,1650,1689,1600,1649.5,1625,1595,1650,1550,1575,1569,1580,1600,1600,1650,1600,1625,1650,1650,1650,1650,1650,1670,1650,1685,1695,1695,1695,1695,1647.5,1600,1595,1590,1575,1600,1600,1650,1650,1675,1675,1645,1600,1599,1575,1625
614,Baytown,TX,Houston-The Woodlands-Sugar Land,Harris County,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1350,1350,1350,1376.5,1400,1400,1400,1396.5,1400,1450,1400,1400,1350,1375,1415,1400,1450,1425,1407.5,1425,1375,1395,1385,1362.5,1400,1440,1400,1465,1415,1495,1442,1375,1394.5,1400,1400
622,San Marcos,TX,Austin-Round Rock,Hays County,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1350,1400,1450,1380,1472.5,1500,1450,1400,1375,1300,1350,1350,1350,1287.5,1400,1450,1485,1450,1450,1425,1449,1449,1499,1460,1399,1400,1400,1374.5,1450,1475,1450,1395,1350,1395,1450,1450
634,Flower Mound,TX,Dallas-Fort Worth-Arlington,Denton County,635,,,,,,,,,,,,,,,1600,1800,1950,1875,1950,1887.5,1900,1650,1800,2000,1900,1899,1850,1876.5,1995,1795,1895,1922.5,1874,1750,1800,1800,1850,1850,1772.5,1807.5,1750,1795,1837.5,1800,1700,1700,1750,1700,1700,1700,1750,1795,1800,1900,1997.5,1962.5,1899.5,1819.5,1850,1850,1800,1900,1850,1897.5,1850,1980,2025,1895,1850,1839,1879,1887,1839,1850,1900,1985,1912.5,1950,1872.5,1990,1850,1850,1992.5,2050,1887,1907.5,1950,1997.5,1997.5,2125,2200,2137.5,2100,2050,1985,1950,1962.5,1942.5,2000,2150,2200,2175,2195,2150,2100,2122.5,2100,2100,2100,2012.5,2195,2200,2195,2275,2391.5,2295,2200,2100,2037.5,2050
676,Cedar Park,TX,Austin-Round Rock,Williamson County,677,,,,,,,,,,,,,1395,1400,1400,1400,1450,1550,1465,1435,1495,1450,1375,1462.5,1495,1495,1595,1595,1595,1600,1475,1550,1625,1550,1547.5,1495,1290,1400,1270,1455,1480,1497,1450,1320,1427.5,1465,1500,1500,1500,1575,1595,1600,1595,1675,1650,1650,1572.5,1585,1600,1625,1695,1700,1675,1700,1750,1750,1695,1700,1672.5,1650,1675,1724.5,1700,1695,1749,1695,1697,1750,1695,1650,1597,1595,1600,1550,1625,1695,1695,1700,1695,1747,1695,1750,1700,1650,1695,1695,1695,1695,1700,1749.5,1745,1750,1750,1695,1695,1695,1747.5,1695,1750,1750,1750,1750,1795,1825,1795,1795,1750,1750,1750,1750
702,North Richland Hills,TX,Dallas-Fort Worth-Arlington,Tarrant County,703,,,,,,,,,,,,,,,,,,,,1190,1150,1199,1199,1187.5,1137.5,1250,1150,1135,1200,1295,1100,1100,1100,1100,1150,1197.5,1125,1100,1095,1095,1125,1250,1357.5,1295,1105,1150,1249,1225,1197,1195,1195,1195,1300,1297.5,1300,1350,1395,1395,1412.5,1350,1397,1400,1312.5,1350,1462.5,1450,1400,1372.5,1495,1325,1325,1385,1385,1400,1375,1350,1275,1350,1325,1450,1365,1437.5,1425,1295,1425,1400,1462.5,1435,1450,1495,1575,1500,1495,1500,1500,1500,1550,1550,1500,1500,1500,1550,1550,1575,1525,1550,1550,1575,1550,1500,1495,1547,1595,1650,1600,1637.5,1597.5,1575,1600,1600
730,Huntsville,TX,Huntsville,Walker County,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1150,1100,1100,1100,1175,1085,1092.5,1100,1000,1000,1100,1200,1200,1250,1200,1200,1200,1200,1200,1195,1100,1100,1100
735,Mansfield,TX,Dallas-Fort Worth-Arlington,Tarrant County,736,,,,,,,,,,,,,,1650,1600,1595,1610,1600,1525,1597.5,1550,1550,1495,1495,1500,1495,1435,1412.5,1450,1500,1600,1495,1550,1550,1495,1500,1550,1497.5,1495,1595,1550,1562.5,1550,1500,1495,1500,1495,1495,1500,1525,1500,1500,1525,1550,1597.5,1595,1634,1600,1597.5,1600,1575,1575,1637.5,1699,1650,1625,1697.5,1689,1692,1695,1695,1600,1595,1600,1695,1632.5,1695,1600,1730,1672.5,1650,1650,1650,1695,1762,1812.5,1885,1795,1795,1750,1800,1750,1750,1700,1695,1745,1745,1732.5,1750,1800,1850,1795,1850,1810,1795,1750,1800,1795,1750,1795,1865,1825,1795,1850,1850,1950,1995,1895,1875,1850
751,Harlingen,TX,Brownsville-Harlingen,Cameron County,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,950,950,850,975,975,975,1075,1000,1000,975,1100,1050,1025,925,997.5,995,972.5,995,937.5,1050,1025,972.5,975,997.5,950,1025,1125,1150,1087.5,1097.5,995,1000,1000,947.5,900
850,Euless,TX,Dallas-Fort Worth-Arlington,Tarrant County,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1275,1300,1237.5,1200,1225,1275,1275,1300,1275,1250,1350,1350,1350,1300,1300,1427.5,1400,1400,1472.5,1402.5,1400,1375,1385,1500,1400,1450,1372.5,1325,1395,1275,1295,1450,1550,1325,1300,1300,1325,1395,1300,1437.5,1500,1495,1595,1595,1550,1645,1650,1525,1450,1395,1400,1500,1550,1575,1650,1650,1700,1650,1600,1622.5,1600,1600,1572.5,1600,1675,1595,1575,1700,1695,1750,1595,1650,1600,1595
877,Desoto,TX,Dallas-Fort Worth-Arlington,Dallas County,878,,,,,,,,,,,,,,,,,,1197,1200,1295,1200,1195,1200,1200,1295,1250,1250,1200,1225,1295,1250,1250,1250,1225,1250,1250,1250,1250,1250,1250,1275,1275,1250,1250,1295,1295,1250,1250,1260,1250,1295,1297.5,1295,1275,1295,1295,1295,1375,1325,1295,1295,1300,1325,1395,1345,1350,1345,1345,1297.5,1285,1275,1322.5,1395,1395,1375,1345,1350,1397.5,1410,1362.5,1325,1395,1395,1300,1375,1395,1450,1500,1454,1422.5,1385,1467.5,1450,1485,1499,1475,1495,1495,1499.5,1445,1497.5,1495,1549.5,1550,1499,1495,1495,1467.5,1550,1595,1550,1567.5,1599,1599,1599,1599,1595,1675,1650,1635
929,Grapevine,TX,Dallas-Fort Worth-Arlington,Tarrant County,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1600,1695,1737.5,1800,1800,1795,1772.5,1795,1750,1737.5,1750,1800,1850,1995,1962.5,2025,1995,1950,2000,1995,2047.5,2125,2197.5,2100,2000,1950,1900,1887.5,1800,1800,1895,2085,1950,2100,2097.5,1925,2000,1812.5,2100,1997.5,1960,1900,1995,1947.5,1900,2000,2195,2175,2197.5,2025,1900,1912.5,2100,2187.5,2175,2100,2200,2200,2300,2292.5,2100,2295,2295,2200,2200,2325,2250,2187.5,2200,2295,2200,2212.5,2297.5,2097.5,1995,2100,2100
934,Waxahachie,TX,Dallas-Fort Worth-Arlington,Ellis County,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.5,1350,1400,1425,1437.5,1512.5,1447.5,1570,1550,1445,1495,1450,1525,1550,1522.5,1500,1595,1650,1650,1650,1600,1595,1637.5,1650,1650,1600,1595,1475,1695,1597.5,1695,1662.5,1637,1650,1650,1695
936,Little Elm,TX,Dallas-Fort Worth-Arlington,Denton County,937,,,,,,,,,,,,,,1300,1395,1350,1350,1350,1350,1337.5,1350,1325,1300,1350,1350,1395,1425,1395,1450,1450,1450,1475,1495,1495,1495,1495,1397.5,1395,1525,1500,1495,1499.5,1500,1499,1495,1495,1500,1495,1500,1500,1500,1500,1575,1550,1575,1575,1595,1595,1600,1595,1650,1595,1595,1595,1650,1650,1675,1700,1695,1662.5,1647.5,1650,1650,1650,1650,1650,1695,1695,1695,1695,1672.5,1700,1625,1695,1650,1695,1700,1775,1795,1795,1799,1795,1787.5,1725,1750,1737.5,1750,1790,1775,1850,1850,1795,1795,1800,1795,1750,1750,1750,1772.5,1800,1799,1845,1895,1850,1847.5,1850,1847.5,1850,1825,1810
951,Cedar Hill,TX,Dallas-Fort Worth-Arlington,Dallas County,952,,,,,,,,,,,,,,1200,1250,1200,1250,1310,1300,1250,1237.5,1250,1295,1295,1295,1225,1225,1195,1250,1300,1297.5,1250,1200,1199,1199,1267.5,1311.5,1297.5,1295,1295,1295,1295,1295,1295,1295,1295,1295,1250,1250,1250,1250,1250,1295,1295,1300,1300,1350,1300,1295,1300,1300,1295,1280,1300,1395,1350,1362.5,1345,1300,1317,1300,1300,1337.5,1400,1425,1350,1412.5,1410,1362.5,1397.5,1495,1395,1400,1372.5,1395,1450,1495,1495,1495,1500,1495,1450,1500,1497.5,1497.5,1522.5,1535,1575,1595,1550,1575,1595,1635,1595,1550,1595,1549.5,1540,1515,1550,1640,1695,1699.5,1725,1700,1675,1700,1682.5,1690,1695
957,Galveston,TX,Houston-The Woodlands-Sugar Land,Galveston County,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.5,1250,1172.5,1262.5,1382.5,1312.5,1300,1250,1199.5,1312.5,1400,1350,1275,1250,1337.5,1325,1250,1400,1400,1325,1387.5,1400,1475,1399,1500,1397.5,1375,1325,1450,1397.5,1354,1298,1300,1400,1400,1422,1400,1400,1450,1500,1280,1300,1350,1400,1350,1350,1400,1465,1450,1475,1500,1461,1400,1449,1450,1500,1500,1446,1400,1432.5,1452,1402,1422,1400,1350,1395
960,Bedford,TX,Dallas-Fort Worth-Arlington,Tarrant County,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1599,1600,1697.5,1700,1700,1675,1650,1625,1650,1675,1672.5,1650,1662.5,1697.5,1697.5,1695,1725,1750,1700,1700,1695,1650,1650,1672.5,1650,1762.5,1775,1790,1790,1762.5,1750,1750,1750,1750,1750
973,Rowlett,TX,Dallas-Fort Worth-Arlington,Dallas County,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1567,1695,1600,1600,1575,1600,1575,1650,1650,1675,1650,1600,1695,1715,1725,1697,1695,1667.5,1690,1650,1700,1682.5,1750,1722.5,1695,1697.5,1744.5,1707.5,1724,1724,1747.5,1740,1695,1695,1725,1795,1760,1750,1750,1790,1790,1795,1755
991,Sherman,TX,Sherman-Denison,Grayson County,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1295,1275,1250,1250,1250,1295,1285,1250,1285,1300,1397.5,1350,1350,1300,1300,1275,1300,1275
997,Wylie,TX,Dallas-Fort Worth-Arlington,Collin County,998,,,,,,,,,,,,,,,,,,1400,1495,1437.5,1395,1400,1399,1350,1300,1450,1362.5,1300,1450,1500,1450,1450,1395,1375,1350,1397.5,1425,1495,1495,1450,1399.5,1450,1450,1405,1450,1495,1450,1400,1450,1495,1495,1500,1495,1500,1500,1500,1475,1500,1562.5,1550,1485,1450,1499,1550,1550,1500,1500,1562.5,1597.5,1550,1500,1550,1550,1550,1500,1550,1500,1597.5,1597.5,1595,1649,1550,1595,1596.5,1639,1682.5,1700,1695,1672.5,1695,1712.5,1700,1700,1699.5,1699.5,1650,1625,1680,1700,1700,1695,1695,1695,1700,1685,1650,1700,1700,1750,1750,1750,1750,1800,1795,1777,1750,1750,1750,1750,1750
1001,Granbury,TX,Dallas-Fort Worth-Arlington,Hood County,1002,,,,,,,,,,,,,,,,,,1250,1150,1125,1100,1100,1100,1100,1150,1100,1200,1150,1200,1250,1200,1200,1150,1150,1000,1012.5,1100,1000,1175,1175,1350,1300,1297.5,1200,1200,1200,1200,1100,1150,1200,1200,1200,1200,1200,1225,1200,1200,1300,1300,1300,1300,1287.5,1312.5,1350,1300,1275,1200,1200,1200,1225,1300,1325,1300,1350,1400,1300,1325,1400,1262.5,1350,1200,1200,1250,1172.5,1350,1400,1372.5,1400,1400,1400,1350,1300,1400,1350,1300,1337.5,1350,1395,1397.5,1400,1350,1400,1450,1397.5,1350,1325,1400,1367.5,1395,1400,1395,1400,1487.5,1400,1450,1572.5,1450,1400,1400,1412.5
1006,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1475,1537.5,1699.5,1700,1750,1750,1800,1800,1775,1800,1800,1700,1900,1950,1900,1850,1700,1750,1900,1900,1895,1800,1850,1900,1950,1987.5,1787.5,1825,1690,1900,1700,1712.5,1695,1647,1685,1725,1800,1850,1850,1850,1850,1800,1900,1925,1872.5,1683,1700,1675,1700,1700,1760,1825,1825,1800,1787.5,1825,1825,1737.5,1750,1750,1750,1750,1800,1750,1725,1750,1750,1700,1725,1725
1011,Seguin,TX,San Antonio-New Braunfels,Guadalupe County,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1462.5,1375,1200,1335,1500,1495,1550,1562.5,1400,1400,1375,1400,1415,1400,1422.5,1495,1475,1400,1400,1400,1312.5,1397.5,1350,1387.5
1059,Texas City,TX,Houston-The Woodlands-Sugar Land,Galveston County,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,1125,1200,1250,1200,1195,1212.5,1250,1250,1200,1250,1225,1265,1340,1260,1250,1385,1280,1312.5,1297.5,1250,1250,1250,1299,1300,1325,1300,1300,1300,1297.5,1300,1250,1300,1300,1299,1295
1070,Keller,TX,Dallas-Fort Worth-Arlington,Tarrant County,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2300,2150,2000,2200,2200,2000,2250,2400,2200,2200,2300,2290,2147.5,1850,2000,2200,2195,2300,2300,2165,2300,2400,2625,2595,2400,2350,2085,2200,2200,2310,2300,2500,2597.5,2450,2400,2325,2200,1995,2000,2000
1071,Coppell,TX,Dallas-Fort Worth-Arlington,Dallas County,1072,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1695,1680,1750,1750,1700,1750,1725,1675,1685,1895,1825,1750,1750,1750,1800,1825,1795,1795,1705,1695,1705,1650,1737.5,1737.5,1750,1750,1795,1988,1988,1897.5,1900,1889,1889,1889,1848,1772.5,1800,1800,1900,1862.5,1957.5,1925,1950,1850,1750.5,1897.5,1874,1892.5,1900,1795,2095,1895,1900,2000,2100,2000,2067,1995,1897.5,1995,2000,1995,2025,2097.5,2050,2050,2162.5,2200,2125,2100,2000,2000,1990,2100,2150,2050,2050,2094.5,2100,2200,2050,2100,2100,1997.5,2065,1950,1997.5,2145,2145,2150,2195,2195,2150,2055,2000
1088,The Colony,TX,Dallas-Fort Worth-Arlington,Denton County,1089,,,,,,,,,,,,,,1250,1250,1262.5,1250,1295,1367.5,1300,1350,1350,1317.5,1200,1222.5,1262.5,1250,1250,1395,1400,1290,1225,1272.5,1295,1350,1350,1295,1300,1295,1275,1325,1380,1450,1450,1400,1390,1400,1397.5,1350,1350,1350,1350,1450,1495,1495,1450,1475,1450,1495,1545,1525,1550,1550,1550,1600,1595,1595,1595,1597.5,1675,1695,1650,1600,1595,1600,1595,1572.5,1595,1697.5,1672.5,1650,1650,1650,1600,1675,1695,1700,1750,1650,1695,1650,1695,1700,1695,1695,1695,1650,1700,1750,1737.5,1800,1750,1750,1745,1712.5,1700,1700,1695,1695,1700,1737.5,1750,1750,1750,1782.5,1750,1775,1750,1750,1795
1095,Lancaster,TX,Dallas-Fort Worth-Arlington,Dallas County,1096,,,,,,,,,,,,,,,,,,,1095,1150,1150,1150,1150,1150,1150,1172.5,1062.5,1099,1050,1085,1150,1175,1150,1135,1095,1097.5,1164,1197.5,1200,1200,1175,1185,1200,1197.5,1200,1272.5,1250,1200,1225,1200,1200,1200,1250,1225,1197.5,1200,1200,1207.5,1230,1250,1250,1250,1295,1295,1295,1300,1300,1275,1289,1295,1265,1295,1345,1375,1400,1357.5,1400,1325,1335,1397,1295,1395,1395,1410,1400,1400,1405,1440,1425,1460,1425,1450,1450,1450,1425,1440,1412.5,1397.5,1450,1459,1500,1500,1550,1525,1547,1549.5,1520,1500,1507.5,1500,1500,1550,1590,1547.5,1550,1572.5,1550,1600,1649,1665
1113,Burleson,TX,Dallas-Fort Worth-Arlington,Johnson County,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1295,1300,1250,1200,1200,1150,1197.5,1200,1225,1250,1250,1262.5,1200,1250,1250,1250,1300,1300,1300,1300,1300,1350,1350,1350,1350,1350,1312.5,1350,1325,1325,1350,1395,1395,1385,1395,1437.5,1495,1412.5,1450,1375,1350,1312.5,1375,1395,1395,1397.5,1457,1380,1475,1354.5,1472.5,1375,1400,1400,1485,1495,1500,1595,1550,1550,1512.5,1507.5,1547.5,1550,1520,1542.5,1550,1595,1597.5,1575,1635,1640,1595,1550,1595,1575,1550,1595,1595,1699,1650,1650,1699,1695,1627.5,1597.5,1550,1512.5,1550
