,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
1534,Manvel,TX,Houston-The Woodlands-Sugar Land,Brazoria County,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5,1725,1675,1650,1625,1625,1625,1625,1625,1625,1625,1625,1725,1710,1837.5,1872.5,1787.5,1825,1800,1800,1800,1800,1795,1825,1800,1850,1800,1800,1850,1850,1850,1850,1850,1800
1541,Bellaire,TX,Houston-The Woodlands-Sugar Land,Harris County,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1922.5,1900,1800,1887.5,1995,1985,2025,1990,1950,2000,2000,2275,2200,2100,2000,2100,2000,1995,2047.5,2062.5,2100,2195,2200,2200,2200,2200,2100,1997.5,2100,2300,2395,2422.5,2322.5,2200,2150,2200,2125,2000
1545,Buda,TX,Austin-Round Rock,Hays County,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.5,1795,1795,1800,1850,1797.5,1737.5,1725,1700,1695,1697,1700,1745,1697.5,1650,1750,1850,1850,1757.5,1750,1697.5,1650,1700,1725,1775,1750,1795,1812.5,1850,1850,1775,1750,1825,1850,1895
1564,Portland,TX,Corpus Christi,San Patricio County,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1687.5,1650,1595,1672.5,1695,1695,1600,1600,1575,1600,1600,1500,1550,1550,1550,1550,1500,1575,1700,1700,1625,1595,1550,1595
1571,Prosper,TX,Dallas-Fort Worth-Arlington,Collin County,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2200,2200,2275,2285,2272.5,2375,2295,2395,2392.5,2395,2397.5,2395,2325,2295,2300,2400,2300,2422.5,2695,2450,2395,2250,2350,2350,2450,2375,2200,2350,2300,2297.5,2350,2295,2295
1575,La Marque,TX,Houston-The Woodlands-Sugar Land,Galveston County,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1475,1575,1575,1500,1575,1650,1650,1600,1600,1475,1400,1379,1300,1295
1584,Pecan Grove,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1600,1612.5,1600,1600,1672.5,1650,1650,1625,1685,1700,1700,1600,1625,1625,1725,1737.5,1700,1700,1700,1700,1662.5,1650,1650,1695,1700,1725,1700,1700,1725,1750,1700,1700,1800,1750
1588,Live Oak,TX,San Antonio-New Braunfels,Bexar County,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.5,1450,1447.5,1395,1422.5,1395,1350,1395,1395,1350,1400,1450,1415,1495,1497.5,1475,1375,1350,1350
1589,Anna,TX,Dallas-Fort Worth-Arlington,Collin County,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1295,1300,1271.5,1300,1300,1300,1295,1250,1250,1250,1200,1295,1295,1295,1300,1350,1325,1300,1300,1300,1295,1300,1337.5,1337.5,1350,1350,1350,1368,1400,1395,1350,1350,1350,1395,1450,1399,1397.5,1425,1412.5,1450,1472.5,1450,1500,1400,1462.5,1398,1400,1450,1467.5,1450,1499,1500,1500,1498,1500,1495,1497.5,1500,1500,1497.5,1495,1510,1500,1499.5,1550,1500,1500,1500,1500,1499,1540,1550,1550,1550,1575,1595,1597,1600,1597.5,1595,1595,1600
1602,Princeton,TX,Dallas-Fort Worth-Arlington,Collin County,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1580,1550,1550,1595,1595,1595,1595,1525,1497,1495,1480,1495,1500,1520,1550,1550,1550,1550,1550,1525,1525,1537.5,1577.5,1595,1625,1600,1600,1622.5,1595,1615,1637.5,1600,1600,1587.5,1599
1609,Crowley,TX,Dallas-Fort Worth-Arlington,Tarrant County,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1395,1445,1395,1445,1450,1450,1470,1495,1495,1495,1495,1487.5,1495,1495,1495,1545,1500,1495,1550,1505,1475,1450,1485,1505,1495,1495,1535,1550,1595,1595,1570,1545,1525,1525,1562.5,1550
1610,Timberwood Park,TX,San Antonio-New Braunfels,Bexar County,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1697.5,1837.5,1795,1772.5,1950,1995,1797.5,1750,1850,1795,1799,1750,1850,1850,1872.5,1850,1800,1875,1900,1895,1812.5,1895,1825,1795,1797.5,1800,1800,1825,2050,1945,1862.5,1797.5,1750,1700,1695
1636,Celina,TX,Dallas-Fort Worth-Arlington,Collin County,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1697.5,1740,1790,1795,1825,1650,1650,1750,1645,1650,1795,1872.5,1750,1792.5,1897.5,1772.5,1750,1850,1825,1900,1800,1950,1998,1850,2097.5,1850,2000,1995,2000,1999,1970
1639,Lakeway,TX,Austin-Round Rock,Travis County,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2375,2325,2300,2300,2350,2400,2500,2575,2500,2450,2500,2500,2450,2450,2425,2500,2472.5,2395,2400,2472.5,2497.5,2400,2450,2475,2475,2550,2550,2700,2572.5,2595,2462.5,2500,2800,2750,2750,2750
1641,Glenn Heights,TX,Dallas-Fort Worth-Arlington,Dallas County,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1597.5,1535,1500,1550,1550,1487,1505,1595,1650,1617.5,1652.5,1630,1597,1625,1695,1627.5,1665,1645
1652,Selma,TX,San Antonio-New Braunfels,Bexar County,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1202,1195,1195,1362.5,1385,1345,1332.5,1262.5,1222.5,1154,1189.5,1315,1272.5,1250,1250,1350,1462.5,1400,1395,1450,1450,1375,1282.5,1275,1195,1345,1412.5,1512.5,1475,1450,1375,1385,1445,1450,1437.5
1670,Justin,TX,Dallas-Fort Worth-Arlington,Denton County,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1495,1538.5,1538.5,1495,1495,1550,1500,1495,1495,1495,1487.5,1495,1500,1500,1500,1549,1545,1575,1550,1550,1550,1550,1550,1550,1599,1599,1600,1600,1625,1645,1650,1595,1595,1550,1512.5
1676,Fate,TX,Dallas-Fort Worth-Arlington,Rockwall County,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1795,1895,1812.5,1795,1650,1650,1795,1795,1797.5,1895,1850,1872.5,1999,2000,1850,1862.5,1875,1770,1797.5,1750,1800,1782.5,1800,1850,1875,1895,1972.5,1925,1999.5,1895,1885,1850
1682,Roanoke,TX,Dallas-Fort Worth-Arlington,Denton County,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1795,1900,1750,1785,1795,1850,1800,1875,1775,1850,1800,1850,1850,1845,1795,1845,1837.5
